1|1|159|219|3|217|6S|S|11|DA
1|1|207|84|263|169|5S|S|10|H4
1|1|5|191|119|10|5S|S|10|CJ
1|1|43|204|287|110|6CX|E|12|SA
1|1|245|250|294|296|5S|S|10|C6
1|1|103|11|118|283|5S|S|10|C6
1|1|112|18|243|59|6HX|W|10|DK
1|1|26|297|213|220|6CX|E|12|SA
1|1|248|298|280|301|4S|S|10|C6
1|1|246|156|282|69|4C|E|11|SA
1|10|159|219|3|217|4S|W|10|DK
1|10|207|84|263|169|4S|W|10|DK
1|10|5|191|119|10|4S|W|10|DK
1|10|43|204|287|110|4S|W|10|DK
1|10|245|250|294|296|2S|W|10|DK
1|10|103|11|118|283|4S|W|10|S2
1|10|112|18|243|59|4S|W|10|DK
1|10|26|297|213|220|4S|W|10|CT
1|10|248|298|280|301|4S|W|10|DK
1|10|246|156|282|69|4S|W|10|DK
1|11|159|219|3|217|3D|W|10|HK
1|11|207|84|263|169|4D|E|10|HA
1|11|5|191|119|10|4D|W|10|HK
1|11|43|204|287|110|2N|E|9|S9
1|11|245|250|294|296|3H|N|7|SK
1|11|103|11|118|283|5D|W|10|HA
1|11|112|18|243|59|3N|E|7|S3
1|11|26|297|213|220|2S|S|7|C4
1|11|248|298|280|301|4D|E|10|HA
1|11|246|156|282|69|2S|S|7|D3
1|12|159|219|3|217|3N|N|7|H9
1|12|207|84|263|169|3N|N|5|H8
1|12|5|191|119|10|2H|E|9|H6
1|12|43|204|287|110|2D|W|5|SQ
1|12|245|250|294|296|3HX|E|7|D8
1|12|103|11|118|283|3N|S|10|HT
1|12|112|18|243|59|3N|S|8|HT
1|12|26|297|213|220|3N|N|7|S7
1|12|248|298|280|301|3N|N|7|S5
1|12|246|156|282|69|2N|N|8|S3
1|13|159|219|3|217|3N|W|8|DK
1|13|207|84|263|169|2H|W|9|DK
1|13|5|191|119|10|3N|W|8|DK
1|13|43|204|287|110|3N|E|7|C9
1|13|245|250|294|296|3NX|W|8|S3
1|13|103|11|118|283|3N|W|8|DK
1|13|112|18|243|59|3N|W|8|DK
1|13|26|297|213|220|4H|E|8|D3
1|13|248|298|280|301|3N|W|7|DK
1|13|246|156|282|69|4S|E|8|D5
1|14|159|219|3|217|3N|S|12|D6
1|14|207|84|263|169|3N|S|10|S4
1|14|5|191|119|10|6D|S|11|C2
1|14|43|204|287|110|3N|N|9|HQ
1|14|245|250|294|296|3N|S|9|H2
1|14|103|11|118|283|3N|S|9|H2
1|14|112|18|243|59|5D|S|11|D3
1|14|26|297|213|220|3N|N|10|HK
1|14|248|298|280|301|3N|S|9|H2
1|14|246|156|282|69|3N|S|10|H3
1|15|159|219|3|217|4C|N|8|HK
1|15|207|84|263|169|4H|E|10|S3
1|15|5|191|119|10|4SX|S|9|CJ
1|15|43|204|287|110|5H|W|9|D3
1|15|245|250|294|296|2S|S|9|CJ
1|15|103|11|118|283|2CX|N|7|HK
1|15|112|18|243|59|4SX|S|9|C8
1|15|26|297|213|220|2C|E|6|H5
1|15|248|298|280|301|2H|E|7|S2
1|15|246|156|282|69|4H|W|9|S2
1|16|159|219|3|217|3D|N|12|H3
1|16|207|84|263|169|2N|N|10|H8
1|16|5|191|119|10|3N|N|10|S3
1|16|43|204|287|110|3N|N|11|C4
1|16|245|250|294|296|3N|S|11|C6
1|16|103|11|118|283|3N|N|10|C4
1|16|112|18|243|59|3N|N|10|H4
1|16|26|297|213|220|2H|N|8|C7
1|16|248|298|280|301|3N|S|10|C6
1|16|246|156|282|69|2N|N|10|C4
1|17|159|219|3|217|3N|E|10|CQ
1|17|116|227|171|146|4H|E|10|DT
1|17|41|232|144|10|3N|E|10|H4
1|17|43|204|287|110|3N|E|10|H3
1|17|245|250|294|296|5C|W|10|DK
1|17|273|201|295|266|3N|W|9|DQ
1|17|112|18|243|59|3N|E|9|DT
1|17|26|297|213|220|3N|E|10|S6
1|17|248|298|280|301|3N|E|10|S6
1|17|246|175|282|73|3N|E|10|CQ
1|18|159|219|3|217|4H|N|7|SQ
1|18|116|227|171|146|4H|N|10|SQ
