                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
WILLARD Sylvie - CRONIER Benedicte                     |  240   1.08 |  0.75   0.33 |  0.14 (120)   0.52 (118) |  0.62 ( 57)  -0.29 ( 63) | -0.01 ( 67)   0.20 ( 51)   0.44 (118) |
SUN Ming - WANG Hongli                                 |  240   0.87 |  0.26   0.60 |  0.90 (128)   0.27 (110) |  1.21 ( 53)   0.68 ( 75) | -0.60 ( 50)   0.09 ( 60)   0.49 (110) |
ALMIRALL Marta - ALMIRALL Nuria                        |  256   0.84 |  0.35   0.49 |  0.45 (127)   0.54 (126) |  0.21 ( 61)   0.67 ( 66) |  0.19 ( 68)  -0.12 ( 58)   0.49 (126) |
SPRUNG Jo Ann - GOLDBERG Connie                        |  240   0.73 |  0.35   0.38 |  0.37 (119)   0.41 (119) |  0.20 ( 66)   0.58 ( 53) | -0.05 ( 55)   0.18 ( 64)   0.33 (119) |
WANG Wen Fei - LIU Yi Qian                             |  224   0.71 |  0.50   0.21 |  0.31 (105)   0.13 (117) |  0.13 ( 48)   0.46 ( 57) |  0.41 ( 61)  -0.19 ( 56)   0.00 (117) |
VON ARNIM Daniela - AUKEN Sabine                       |  288   0.61 |  0.41   0.21 |  0.06 (159)   0.38 (129) |  0.21 ( 82)  -0.09 ( 77) | -0.16 ( 73)  -0.05 ( 56)   0.49 (129) |
YAN Ru - DONG Yongling                                 |  208   0.61 |  0.40   0.21 |  0.01 (105)   0.41 (103) |  0.23 ( 59)  -0.26 ( 46) |  0.09 ( 44)   0.08 ( 59)   0.33 (103) |
DEAS Lynn - PALMER Beth                                |  272   0.60 |  0.11   0.49 |  0.55 (130)   0.43 (141) |  0.62 ( 68)   0.48 ( 62) |  0.04 ( 82)  -0.15 ( 59)   0.47 (141) |
ANDERSSON Pia - RIMSTEDT Cecilia                       |  240   0.59 |  0.15   0.44 |  0.56 (121)   0.34 (116) |  0.53 ( 64)   0.58 ( 57) | -0.33 ( 58)   0.19 ( 58)   0.41 (116) |
SANBORN Kerri - LEVITINA Irina                         |  272   0.54 |  0.27   0.27 |  0.33 (136)   0.21 (135) |  0.85 ( 55)  -0.02 ( 81) |  0.10 ( 73)   0.06 ( 62)   0.13 (135) |
FERLAZZO Caterina - MANARA Gabriella                   |  240   0.52 |  0.30   0.22 |  0.19 (111)   0.24 (128) |  0.07 ( 50)   0.30 ( 61) |  0.22 ( 57)  -0.37 ( 71)   0.35 (128) |
BESSIS Veronique - HUGON Elisabeth                     |  208   0.50 |  0.15   0.36 |  0.60 (107)   0.11 ( 98) |  0.18 ( 50)   0.96 ( 57) | -0.19 ( 47)  -0.15 ( 51)   0.28 ( 98) |
BUDKIN Diana - ALONSO Ana Maria De                     |  272   0.48 |  0.29   0.19 |  0.57 (135)  -0.19 (134) |  0.35 ( 56)   0.73 ( 79) | -0.34 ( 62)  -0.05 ( 72)  -0.00 (134) |
SUTHERLIN Peggy - MANCUSO Renee                        |  192   0.45 |  0.21   0.24 | -0.05 (118)   0.72 ( 73) | -0.11 ( 50)  -0.01 ( 68) |  0.09 ( 42)  -0.23 ( 31)   0.76 ( 73) |
TUEJE Joice - BOJOH Lusje Olha                         |  320   0.43 |  0.11   0.32 |  0.27 (161)   0.37 (156) |  0.08 ( 71)   0.43 ( 90) |  0.21 ( 83)   0.16 ( 73)   0.19 (156) |
D'OVIDIO Catherine - GAVIARD Daniele                   |  224   0.41 | -0.11   0.52 |  0.73 (117)   0.30 (106) |  0.61 ( 66)   0.88 ( 51) |  0.29 ( 49)   0.17 ( 57)   0.08 (106) |
ATTAGUILE Florencia - BLUM Martha E.                   |  176   0.35 |  0.08   0.27 |  0.62 ( 81)  -0.03 ( 94) |  0.71 ( 47)   0.50 ( 34) |  0.15 ( 62)  -0.50 ( 32)   0.04 ( 94) |
BEKKOUCHE Nadia - BINDERKRANTZ Trine                   |  224   0.32 |  0.18   0.13 |  0.24 (117)   0.01 (106) |  0.01 ( 71)   0.61 ( 46) |  0.04 ( 53)   0.07 ( 53)  -0.04 (106) |
TULLY Therese - LUSK Sue                               |  272   0.29 |  0.30  -0.00 |  0.11 (144)  -0.13 (124) |  0.26 ( 81)  -0.08 ( 63) |  0.05 ( 52)  -0.02 ( 72)  -0.14 (124) |
BAKER Lynn - McCALLUM Karen                            |  128   0.23 | -0.01   0.25 |  0.46 ( 78)  -0.09 ( 50) |  0.65 ( 39)   0.28 ( 39) | -0.08 ( 22)   0.07 ( 28)  -0.10 ( 50) |
SAKET Randa - QASHU Azza                               |  272   0.15 | -0.12   0.26 |  0.14 (128)   0.37 (143) |  0.36 ( 74)  -0.15 ( 54) |  0.06 ( 80)   0.11 ( 63)   0.29 (143) |
YULE Kathryn - CORMACK Jan                             |  256   0.14 | -0.08   0.21 |  0.57 (123)  -0.12 (133) |  0.53 ( 57)   0.60 ( 66) | -0.08 ( 56)  -0.18 ( 77)   0.02 (133) |
BILDE Dorte Cilleborg - FARHOLT Stense                 |  240   0.13 |  0.38  -0.25 | -0.35 (111)  -0.17 (128) | -0.36 ( 55)  -0.35 ( 56) | -0.18 ( 67)   0.11 ( 61)  -0.13 (128) |
ELAWADY Dina - MOUSSA Nada                             |  176   0.11 |  0.24  -0.13 |  0.03 ( 95)  -0.33 ( 79) |  0.08 ( 44)  -0.02 ( 51) | -0.43 ( 38)  -0.27 ( 41)   0.02 ( 79) |
DELLA MONTA Annaig - HACKETT Barbara                   |  240   0.10 |  0.14  -0.05 | -0.23 (111)   0.11 (129) | -0.50 ( 56)   0.04 ( 55) |  0.01 ( 66)  -0.05 ( 63)   0.13 (129) |
WILKINSON Jenny - NEWTON Shirley                       |  240   0.08 |  0.27  -0.19 | -0.13 (120)  -0.25 (118) |  0.01 ( 63)  -0.29 ( 57) |  0.04 ( 49)  -0.37 ( 69)  -0.05 (118) |
BABOT Mari Carmen - PANADERO Maria                     |  224   0.08 | -0.30   0.38 |  0.65 (102)   0.15 (122) |  1.06 ( 43)   0.35 ( 59) |  0.26 ( 59)  -0.04 ( 63)   0.04 (122) |
CLINTON Barb - EATON Joan                              |  208   0.07 |  0.18  -0.11 |  0.16 ( 91)  -0.31 (116) | -0.30 ( 35)   0.45 ( 56) | -0.51 ( 63)  -0.11 ( 53)   0.01 (116) |
NAKAO Tomoe - OHNO Michiko                             |  176   0.07 |  0.09  -0.02 |  0.49 ( 81)  -0.46 ( 95) |  0.82 ( 38)   0.19 ( 43) | -0.14 ( 48)  -0.08 ( 47)  -0.35 ( 95) |
CULHAM Susan - FUNG Kismet                             |  240   0.06 |  0.12  -0.06 |  0.15 (117)  -0.26 (121) |  0.47 ( 52)  -0.10 ( 65) | -0.48 ( 51)   0.03 ( 70)  -0.08 (121) |
KHALIL Lily - KHOURI Maud                              |  288   0.06 |  0.11  -0.05 | -0.28 (140)   0.16 (146) | -0.63 ( 66)   0.03 ( 74) | -0.05 ( 68)   0.00 ( 78)   0.18 (146) |
SACCAVINI Ilaria - PAOLUZI Simonetta                   |  208   0.05 |  0.08  -0.02 |  0.21 (108)  -0.27 (100) |  0.57 ( 59)  -0.23 ( 49) |  0.51 ( 48)  -0.15 ( 52)  -0.44 (100) |
ARRIGONI Gianna - OLIVIERI Gabriella                   |  224   0.04 |  0.13  -0.08 | -0.02 (120)  -0.16 (101) | -0.11 ( 75)   0.14 ( 45) | -0.49 ( 58)   0.05 ( 43)   0.09 (101) |
BERTHEAU Kathrine - MIDSKOG Catarina                   |  192   0.02 | -0.03   0.05 | -0.04 ( 97)   0.14 ( 95) | -0.12 ( 40)   0.01 ( 57) |  0.13 ( 49)   0.06 ( 46)   0.04 ( 95) |
RIMSTEDT Sandra - SJOBERG Emma                         |  240  -0.01 | -0.27   0.26 |  0.35 (124)   0.16 (116) |  0.73 ( 66)  -0.08 ( 58) | -0.14 ( 55)   0.11 ( 61)   0.17 (116) |
KIRSTAN Marlene - KLEMMENSEN Christina                 |  208  -0.01 | -0.42   0.41 |  0.59 (117)   0.17 ( 91) |  0.53 ( 39)   0.62 ( 78) |  0.06 ( 52)  -0.20 ( 39)   0.22 ( 91) |
AZWER Zeenat - AGHA Rubina                             |  240  -0.03 |  0.07  -0.10 | -0.13 (115)  -0.07 (125) |  0.11 ( 55)  -0.34 ( 60) | -0.07 ( 62)  -0.09 ( 63)   0.02 (125) |
WITTES Pam - QUINN Shawn                               |  240  -0.07 |  0.07  -0.13 | -0.06 (114)  -0.20 (124) |  0.20 ( 53)  -0.29 ( 61) | -0.13 ( 57)  -0.46 ( 67)   0.10 (124) |
CAFRANGA-MARTORELL Carmen - HERNANDEZ Maria Eugenia    |  192  -0.10 | -0.03  -0.08 | -0.20 ( 92)   0.03 ( 97) | -0.07 ( 44)  -0.31 ( 48) |  0.02 ( 44)   0.31 ( 53)  -0.14 ( 97) |
ABU JABER Aida - KREIDIEH Hana                         |  320  -0.13 | -0.14   0.00 |  0.08 (169)  -0.08 (151) | -0.44 ( 84)   0.58 ( 85) |  0.23 ( 70)  -0.07 ( 81)  -0.15 (151) |
CASTELLO-BRANCO Noemia - PONCIONI Graca                |  208  -0.19 | -0.13  -0.05 | -0.31 ( 92)   0.15 (114) | -0.26 ( 54)  -0.38 ( 38) | -0.10 ( 60)   0.23 ( 54)   0.10 (114) |
SHIMAMURA Kyoko - BANNO Kazuko                         |  192  -0.19 |  0.05  -0.24 |  0.02 (101)  -0.53 ( 91) |  0.62 ( 48)  -0.52 ( 53) |  0.06 ( 43)   0.21 ( 48)  -0.67 ( 91) |
RIANTINI - - DAMAYANTI Fera                            |  192  -0.19 | -0.09  -0.10 | -0.32 ( 80)   0.05 (112) | -0.38 ( 41)  -0.25 ( 39) | -0.12 ( 59)   0.06 ( 53)   0.09 (112) |
