                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
WANG Wen Fei - LIU Yi Qian                             |  176   1.19 |  0.81   0.38 | -0.01 ( 86)   0.75 ( 90) |  0.31 ( 42)  -0.32 ( 44) |  0.14 ( 47)   0.16 ( 43)   0.60 ( 90) |
CULHAM Susan - FUNG Kismet                             |  176   0.86 |  0.53   0.33 |  0.43 ( 97)   0.20 ( 79) | -0.13 ( 42)   0.86 ( 55) | -0.52 ( 36)   0.30 ( 43)   0.27 ( 79) |
AHONEN Hulda - NURMI Pia                               |  272   0.85 |  0.52   0.34 |  0.46 (141)   0.20 (130) |  0.37 ( 56)   0.52 ( 85) |  0.29 ( 67)  -0.15 ( 63)   0.13 (130) |
FARHOLT Stense - RAHELT Maria Marit                    |  176   0.85 |  0.34   0.51 |  0.78 ( 76)   0.31 ( 99) |  0.71 ( 32)   0.83 ( 44) |  0.05 ( 46)  -0.06 ( 53)   0.31 ( 99) |
WANG Hongli - SUN Ming                                 |  176   0.81 |  0.31   0.50 |  0.20 ( 93)   0.84 ( 82) |  0.26 ( 52)   0.13 ( 41) |  0.58 ( 40)   0.40 ( 42)   0.36 ( 82) |
KHONICHEVA Elena - NIKITINA Alexandra                  |  176   0.80 |  0.56   0.24 |  0.34 (101)   0.10 ( 75) |  0.07 ( 50)   0.61 ( 51) | -0.26 ( 35)  -0.12 ( 40)   0.28 ( 75) |
ADAMSON Sheila - MARTIN Anne                           |  192   0.75 |  0.43   0.32 |  0.38 (101)   0.26 ( 91) |  0.92 ( 41)   0.01 ( 60) |  0.16 ( 53)  -0.09 ( 38)   0.20 ( 91) |
JEANIN-NALTET Dominique - THUILLEZ Pascale             |  192   0.74 |  0.33   0.41 |  0.14 ( 87)   0.64 (105) | -0.19 ( 41)   0.44 ( 46) | -0.01 ( 56)   0.03 ( 49)   0.63 (105) |
DARYANANI Padma - PACHECO Morella                      |  224   0.73 |  0.58   0.15 |  0.24 (130)   0.03 ( 93) |  0.64 ( 48)   0.01 ( 82) |  0.30 ( 55)  -0.17 ( 38)  -0.08 ( 93) |
GUY Veronica - PUNCH Sam                               |  176   0.67 |  0.26   0.41 |  0.35 ( 98)   0.48 ( 78) |  0.14 ( 45)   0.53 ( 53) |  0.22 ( 40)   1.01 ( 38)  -0.12 ( 78) |
BOJOH Lusje Olha - TUEJE Julita Grace                  |  256   0.66 |  0.30   0.36 |  0.59 (134)   0.11 (120) |  0.69 ( 70)   0.48 ( 64) |  0.18 ( 57)  -0.11 ( 63)   0.08 (120) |
GROMOVA Victoria - PONOMAREVA Tatiana                  |  176   0.65 |  0.52   0.13 | -0.37 ( 81)   0.57 ( 94) | -0.60 ( 46)  -0.06 ( 35) |  0.09 ( 50)   0.11 ( 44)   0.47 ( 94) |
DAUVERGNE Sophie - HUGON Elisabeth                     |  192   0.62 |  0.22   0.40 |  0.62 ( 91)   0.20 (100) |  0.45 ( 43)   0.77 ( 48) |  0.14 ( 51)  -0.15 ( 49)   0.20 (100) |
