2|16|1011|1061|1010|1060|1N|N|5|HJ
2|17|1011|1061|1010|1060|3S|S|10|C4
2|18|1011|1061|1010|1060|3Nx|N|10|H2
2|19|1011|1030|1010|1031|4S|N|9|CA
2|20|1011|1030|1010|1031|2S|N|8|D6
2|21|1011|1030|1010|1031|3N|W|8|D6
2|22|1011|1041|1010|1040|4H|S|11|CJ
2|23|1011|1041|1010|1040|3S|W|10|DA
2|24|1011|1041|1010|1040|4S|N|7|D4
2|25|1011|1020|1010|1072|3D|S|10|D8
2|26|1011|1020|1010|1072|4H|S|12|D3
2|27|1011|1020|1010|1072|2S|S|8|CQ
2|28|1011|1050|1010|1021|1N|S|10|D3
2|29|1011|1050|1010|1021|3S|N|9|CJ
2|30|1011|1050|1010|1021|3Hx|N|9|D6

2|16|1020|1041|1072|1040|1N|W|6|C6
2|17|1020|1041|1072|1040|2D|S|11|DA
2|18|1020|1041|1072|1040|4D|E|10|CA
2|19|1020|1061|1072|1060|5Dx|S|8|HK
2|20|1020|1061|1072|1060|3C|E|8|DA
2|21|1020|1061|1072|1060|3S|E|9|D2
2|22|1021|1072|1050|1020|4H|N|11|CJ
2|23|1021|1072|1050|1020|5Dx|N|8|HJ
2|24|1021|1072|1050|1020|3C|E|8|S2
2|28|1030|1020|1031|1072|1S|E|5|DT
2|29|1030|1020|1031|1072|2S|N|9|DJ
2|30|1030|1020|1031|1072|4Hx|N|9|D6

2|16|1021|1030|1050|1031|2Hx|E|6|H2
2|17|1021|1030|1050|1031|3C|W|7|D7
2|18|1021|1030|1050|1031|3N|N|5|CA
2|22|1030|1061|1031|1060|4H|S|11|SK
2|23|1030|1061|1031|1060|3S|W|10|DA
2|24|1030|1061|1031|1060|2S|N|7|H4
2|25|1040|1030|1041|1031|3D|S|10|D8
2|26|1040|1030|1041|1031|6H|S|12|SA
2|27|1040|1030|1041|1031|2S|S|8|D5

2|25|1061|1050|1060|1021|1N|N|7|C7
2|26|1061|1050|1060|1021|4H|S|11|D3
2|27|1061|1050|1060|1021|2S|S|8|D5
2|28|1061|1041|1060|1040|4Sx|S|9|D9
2|29|1061|1041|1060|1040|4D|E|10|SA
2|30|1061|1041|1060|1040|5D|W|9|S6

2|19|1040|1050|1041|1021|4S|S|10|D2
2|20|1040|1050|1041|1021|2S|N|8|D6
2|21|1040|1050|1041|1021|3S|E|10|HA
