Players;Count;IMPs;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
MOSS Sylvia - RADIN Judi;144;0,98;0,36;0,63;0,55;72;  0,71;72;0,48;31;0,60;41;0,18;42;0,38;30;0,44;72;
SMITH Nicola - BROCK Sally;224;0,87;0,38;0,49;0,38;118;  0,61;105;0,54;56;0,24;62;-0,13;48;0,16;57;0,59;105;
ANDERSSON Pia - JOHANSSON Marie;208;0,75;0,20;0,55;0,42;101;  0,66;107;0,34;52;0,51;49;0,02;55;0,18;52;0,56;107;
ROSENBERG Debbie - SEAMON-MOLSON Janice;256;0,73;0,39;0,34;0,41;132;  0,27;123;0,47;68;0,35;64;-0,13;53;0,20;70;0,21;123;
WILLARD Sylvie - CRONIER Benedicte;240;0,70;0,23;0,48;0,76;118;  0,20;121;1,30;60;0,21;58;-0,18;53;0,10;68;0,23;121;
GORDON Dianna - REUS Sharyn;272;0,70;0,02;0,67;0,92;129;  0,45;142;1,67;57;0,33;72;0,21;75;-0,12;67;0,40;142;
DEKKERS Laura - MICHIELSEN Marion;224;0,68;0,21;0,47;0,38;105;  0,55;119;-0,27;55;1,10;50;0,30;57;-0,06;62;0,43;119;
STANSBY JoAnna - ZUR-CAMPANILE-ALBU Migry;288;0,67;0,39;0,29;0,08;148;  0,51;140;0,14;81;0,01;67;0,02;71;0,01;69;0,49;140;
DEWI Suci Amita - MURNIATI Kristina Wahyu;288;0,67;0,48;0,19;0,16;128;  0,21;158;0,45;52;-0,03;76;0,26;83;-0,21;75;0,17;158;
SHIMAMURA Kyoko - BANNO Kazuko;240;0,64;0,48;0,16;0,43;125;  -0,14;114;0,21;66;0,66;59;-0,10;47;0,22;67;-0,22;114;
SJOBERG Emma - RIMSTEDT Sandra;256;0,61;0,30;0,30;0,48;124;  0,15;130;0,54;58;0,42;66;-0,00;61;-0,23;69;0,27;130;
ZMUDA Justyna - KAZMUCHA Danuta;208;0,59;0,22;0,36;0,19;102;  0,53;106;0,28;61;0,05;41;0,12;63;-0,03;43;0,48;106;
HARASIMOWICZ Ewa - SAWICKA Malgorzata;240;0,54;0,53;0,02;-0,07;120;  0,11;119;-0,12;56;-0,03;64;0,07;54;-0,19;65;0,18;119;
STOCKDALE Susan - BROWN Fiona;224;0,54;0,47;0,06;-0,05;112;  0,17;111;-0,11;61;0,04;51;0,10;63;0,17;48;0,05;111;
VON ARNIM Daniela - AUKEN Sabine;288;0,52;0,21;0,31;0,28;152;  0,35;135;0,10;75;0,45;77;0,09;63;-0,11;72;0,36;135;
SUN Yanhui - FENG Xuefeng;144;0,49;0,28;0,21;0,16;70;  0,27;74;0,17;30;0,15;40;0,03;42;0,21;32;0,16;74;
GU Ling - LU Yan;272;0,44;0,30;0,14;0,09;145;  0,20;127;0,05;72;0,12;73;0,01;68;0,16;59;0,11;127;
LEVIN Jill - MEYERS Jill;272;0,42;0,12;0,30;0,22;141;  0,39;130;0,60;61;-0,07;80;0,19;69;0,03;61;0,27;130;
TUEJE Julita Grace - BOJOH Lusje Olha;320;0,41;0,10;0,31;0,46;159;  0,17;160;0,76;74;0,19;85;0,05;91;0,20;69;0,05;160;
SIMONS Anneke - PASMAN Jet;224;0,41;0,07;0,34;0,32;114;  0,36;110;0,09;58;0,55;56;0,03;58;0,24;52;0,24;110;
GIAMPIETRO Cristina - NEHMERT Pony Beate;208;0,34;0,10;0,24;0,27;93;  0,22;114;0,16;44;0,36;49;-0,12;56;0,70;58;-0,08;114;
ZOCHOWSKA Joanna - GAVIARD Daniele;208;0,31;-0,01;0,32;0,40;105;  0,24;101;0,34;60;0,49;45;0,14;54;-0,13;47;0,23;101;
SOKOLOW Tobi - JOEL Geeske;144;0,30;0,15;0,14;0,30;72;  -0,01;72;0,41;42;0,14;30;0,31;40;-0,29;32;-0,05;72;
VARGAS DE ANDRADE Isabella - PAIN Leda;224;0,28;0,27;0,01;0,04;121;  -0,04;103;0,07;75;0,01;46;0,39;61;-0,53;42;-0,05;103;
ARRIGONI Gianna - OLIVIERI Gabriella;240;0,27;-0,06;0,32;0,43;117;  0,22;123;0,36;62;0,51;55;0,09;59;-0,10;64;0,23;123;
DEAS Lynn - PALMER Beth;240;0,24;0,03;0,21;-0,04;132;  0,51;108;-0,04;61;-0,03;71;0,03;57;-0,03;51;0,51;108;
YULE Kathryn - CORMACK Jan;240;0,23;0,19;0,04;0,13;116;  -0,04;124;-0,24;53;0,45;63;0,07;63;0,11;61;-0,13;124;
SUN Ming - WANG Hongli;256;0,22;0,03;0,19;0,08;132;  0,31;123;0,20;77;-0,10;55;0,17;70;0,20;53;0,13;123;
SENIOR Nevena - DHONDY Heather;224;0,15;0,09;0,06;-0,09;108;  0,20;116;0,21;55;-0,41;53;-0,31;54;0,51;62;0,07;116;
GOLIN Cristina - PAOLUZI Simonetta;256;-0,00;-0,02;0,02;0,00;129;  0,04;126;-0,35;62;0,32;67;0,02;65;-0,20;61;0,13;126;
CHOKSI Rita - DEY Bharati;224;-0,00;0,26;-0,26;-0,08;112;  -0,45;112;0,33;51;-0,42;61;-0,11;65;0,04;47;-0,40;112;
NOGUEIRA Heloisa - PONCIONI Graca;224;-0,00;0,11;-0,11;-0,01;106;  -0,21;116;-0,12;47;0,08;59;0,20;60;-0,04;56;-0,29;116;
BESSIS Veronique - D'OVIDIO Catherine;224;-0,06;0,02;-0,08;0,06;115;  -0,21;109;-0,18;62;0,33;53;-0,08;58;0,30;51;-0,31;109;
FRASER Sandra - LITWIN Katrin;208;-0,06;-0,19;0,13;0,41;96;  -0,11;110;0,36;48;0,46;48;0,21;55;0,13;55;-0,28;110;
TAKASAKI Megumi - YANAGISAWA Akiko;128;-0,12;-0,21;0,09;-0,34;57;  0,45;70;-0,66;27;-0,06;30;0,17;34;-0,01;36;0,37;70;
CARTNER Linda - PALMER Glenis;208;-0,12;-0,15;0,03;0,23;100;  -0,15;107;-0,12;46;0,52;54;0,14;46;0,13;61;-0,29;107;
KHATTAK Yasmin - SAKET Huda;128;-0,14;0,08;-0,22;-0,58;61;  0,11;67;-0,78;29;-0,40;32;0,27;29;-0,14;38;0,07;67;
BERMAN Candice - CLARK Alida;224;-0,15;-0,25;0,10;0,37;97;  -0,10;126;0,77;52;-0,08;45;0,01;61;0,04;65;-0,13;126;
BERTHEAU Kathrine - LARSSON Jessica;208;-0,16;-0,18;0,01;-0,03;108;  0,07;99;0,38;59;-0,53;49;-0,02;47;-0,23;52;0,20;99;
LAKHANI Geeta - SAIN Aparna;224;-0,17;-0,06;-0,11;-0,06;113;  -0,16;111;0,19;58;-0,33;55;-0,26;56;-0,09;55;0,01;111;
CORREA Paula - DE MELLO Sylvia Figueira;224;-0,20;0,15;-0,35;-0,30;106;  -0,39;118;-0,00;51;-0,58;55;-0,18;65;-0,06;53;-0,27;118;
DE BIASIO Angela - GIGLIOTTI Donatella;176;-0,24;0,04;-0,28;0,12;84;  -0,64;92;-0,05;47;0,33;37;-0,23;54;-0,51;38;-0,30;92;
WILKINSON Jenny - NEWTON Shirley;224;-0,25;-0,03;-0,22;-0,13;107;  -0,30;117;0,16;59;-0,48;48;-0,08;58;0,06;59;-0,29;117;
VRIEND Bep - ARNOLDS Carla;224;-0,25;-0,60;0,35;0,66;104;  0,08;119;0,47;52;0,86;52;0,01;57;0,08;62;0,03;119;
BREWIAK Grazyna - SARNIAK Anna;224;-0,28;-0,06;-0,22;-0,14;117;  -0,32;105;-0,22;48;-0,08;69;0,14;57;-0,22;48;-0,30;105;
CUMPSTONE Karen - EATON Joan;192;-0,32;-0,07;-0,25;-0,15;95;  -0,35;97;-0,06;46;-0,24;49;-0,10;50;-0,71;47;0,04;97;
DELLA MONTA Annaig - HACKETT Barbara;176;-0,32;-0,21;-0,12;0,09;84;  -0,31;92;0,13;44;0,05;40;-0,09;43;-0,17;49;-0,18;92;
LAHLOU Fatim - RAFFALI Cristina;272;-0,38;0,01;-0,38;-0,14;132;  -0,62;139;0,01;74;-0,34;58;-0,08;68;-0,15;71;-0,50;139;
McLEISH Paula - RANKIN Pele;240;-0,38;-0,01;-0,37;-0,32;120;  -0,42;120;-0,36;62;-0,28;58;-0,28;56;0,00;64;-0,30;120;
SMITH Ivy - TACHE Nina;224;-0,41;-0,18;-0,23;-0,19;122;  -0,27;101;-0,26;63;-0,13;59;0,02;57;0,04;44;-0,30;101;
NISHIDA Natsuko - SAKAMOTO Midori;208;-0,42;-0,24;-0,18;-0,55;101;  0,17;107;-0,30;49;-0,79;52;0,04;48;-0,14;59;0,23;107;
SOLIMAN Hoda - HOMSY Marguerite;256;-0,46;-0,22;-0,24;-0,13;127;  -0,35;129;-0,50;58;0,19;69;-0,20;70;-0,26;59;-0,12;129;
HAMADEH AWWAD Maha - SAKET Huda;128;-0,48;0,03;-0,51;-0,43;57;  -0,58;70;-0,92;26;-0,01;31;-0,08;35;-0,07;35;-0,51;70;
ABU JABER Aida - SAKET Randa;240;-0,50;-0,14;-0,35;-0,68;124;  -0,00;115;-1,19;63;-0,16;61;0,18;52;-0,01;63;-0,08;115;
HAMDY Nessrine - BADAWI Laila;160;-0,51;-0,15;-0,36;-0,15;70;  -0,52;90;0,01;34;-0,30;36;-0,09;51;-0,29;39;-0,35;90;
SNASHALL Helen - LACHMAN Catherine Veronica;208;-0,56;-0,25;-0,31;-0,10;105;  -0,53;102;0,27;57;-0,53;48;-0,15;61;0,10;41;-0,48;102;
THOMPSON Jacqueline - XAVIER Alana;192;-0,57;-0,20;-0,38;-0,30;93;  -0,44;99;-0,03;44;-0,55;49;-0,13;47;0,24;52;-0,51;99;
