                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
D'OVIDIO Catherine - GAVIARD Daniele                   |  320   0.86 |  0.43   0.43 |  0.49 (167)   0.38 (149) |  0.47 ( 90)   0.51 ( 77) |  0.00 ( 56)   0.28 ( 93)   0.21 (149) |
SIMONS Anneke - PASMAN Jet                             |  300   0.77 |  0.82  -0.05 | -0.20 (152)   0.10 (146) | -0.41 ( 31)  -0.14 (121) |  0.04 (104)  -0.39 ( 42)   0.19 (146) |
SMITH Nicola - DHONDY Heather                          |  360   0.75 |  0.43   0.32 |  0.38 (179)   0.26 (177) |  0.81 ( 83)   0.01 ( 96) |  0.11 ( 82)  -0.35 ( 95)   0.39 (177) |
WORTEL Meike - MICHIELSEN Marion                       |  280   0.66 |  0.22   0.44 |  0.38 (152)   0.52 (125) |  1.13 ( 71)  -0.27 ( 81) |  0.29 ( 57)  -0.05 ( 68)   0.41 (125) |
VON ARNIM Daniela - AUKEN Sabine                       |  420   0.64 |  0.50   0.14 |  0.00 (217)   0.28 (202) | -0.19 (106)   0.19 (111) |  0.11 (110)   0.05 ( 92)   0.19 (202) |
THORESEN Siv - REMEN Solvi                             |  360   0.58 |  0.39   0.19 |  0.36 (200)  -0.02 (158) |  0.82 (113)  -0.24 ( 87) | -0.10 ( 74)  -0.04 ( 84)   0.05 (158) |
WILLARD Sylvie - CRONIER Benedicte                     |  300   0.56 |  0.22   0.34 |  0.05 (148)   0.63 (152) |  0.14 ( 74)  -0.04 ( 74) |  0.33 ( 82)   0.56 ( 70)   0.19 (152) |
FARHOLT Stense - RAHELT Maria Marit                    |  300   0.51 |  0.61  -0.11 | -0.08 (146)  -0.14 (154) |  0.16 ( 79)  -0.35 ( 67) |  0.04 ( 77)   0.01 ( 77)  -0.16 (154) |
SACCAVINI Ilaria - PAOLUZI Simonetta                   |  320   0.48 |  0.18   0.30 |  0.47 (171)   0.11 (147) |  0.31 ( 73)   0.59 ( 98) |  0.22 ( 69)  -0.08 ( 78)   0.04 (147) |
KIRSTAN Marlene - KREFELD Camilla Bo                   |  280   0.46 |  0.19   0.27 |  0.31 (154)   0.23 (125) |  0.42 ( 73)   0.22 ( 81) |  0.34 ( 62)  -0.26 ( 63)   0.19 (125) |
HARASIMOWICZ Ewa - PASTERNAK Malgorzata                |  260   0.45 |  0.33   0.12 |  0.02 (121)   0.21 (136) |  0.26 ( 65)  -0.25 ( 56) | -0.23 ( 60)   0.21 ( 76)   0.19 (136) |
ANDERSSON Pia - RIMSTEDT Cecilia                       |  280   0.42 |  0.25   0.17 |  0.40 (134)  -0.04 (145) | -0.39 ( 61)   1.07 ( 73) | -0.03 ( 76)   0.18 ( 69)  -0.11 (145) |
TESHOME Sarah - JAGGER Catherine                       |  260   0.39 |  0.33   0.06 |  0.11 (110)   0.02 (148) | -0.12 ( 68)   0.48 ( 42) |  0.18 ( 76)   0.09 ( 72)  -0.11 (148) |
TERRANEO Sylvia - KRIFTNER Susanne                     |  220   0.36 |  0.09   0.27 |  0.25 (116)   0.30 (102) |  0.49 ( 53)   0.05 ( 63) |  0.36 ( 56)   0.27 ( 46)  -0.02 (102) |
BRUNNER Michelle - GOLDENFIELD Rhona                   |  220   0.36 |  0.65  -0.28 | -0.34 (113)  -0.22 (105) | -0.34 ( 53)  -0.35 ( 60) |  0.08 ( 57)   0.42 ( 48)  -0.46 (105) |
UYGAN Filiz - ATALAY Belis                             |  280   0.36 |  0.15   0.20 |  0.30 (163)   0.08 (116) |  0.22 (105)   0.43 ( 58) | -0.35 ( 59)  -0.25 ( 57)   0.38 (116) |
McGOWAN Elizabeth (Liz) - McQUAKER Fiona               |  320   0.36 |  0.31   0.05 | -0.11 (169)   0.23 (151) |  0.31 ( 96)  -0.65 ( 73) |  0.17 ( 82)  -0.04 ( 69)   0.15 (151) |
SVER Nikica - PILIPOVIC Marina                         |  400   0.35 |  0.15   0.21 |  0.49 (199)  -0.07 (201) |  0.84 (103)   0.12 ( 96) | -0.04 ( 95)   0.05 (106)  -0.08 (201) |
SCHRAVERUS-MEUER Mirja - ALBERTI Anja                  |  180   0.27 |  0.02   0.24 |  0.37 ( 98)   0.10 ( 80) |  0.59 ( 56)   0.08 ( 42) |  0.26 ( 51)  -0.01 ( 29)  -0.06 ( 80) |
TORIELLI Vanessa - POMARES Y De Morant Claudia         |  260   0.27 |  0.20   0.06 |  0.21 (126)  -0.07 (133) |  0.25 ( 67)   0.16 ( 59) |  0.31 ( 72)   0.02 ( 61)  -0.25 (133) |
SARNIAK Anna - BREWIAK Grazyna                         |  320   0.26 |  0.08   0.18 |  0.14 (175)   0.22 (145) |  0.09 ( 91)   0.20 ( 84) |  0.17 ( 68)  -0.31 ( 77)   0.31 (145) |
SMEDEREVAC Jovanka - GOGOMAN Adele                     |  340   0.26 | -0.07   0.33 |  0.37 (182)   0.28 (158) |  0.45 ( 97)   0.29 ( 85) |  0.26 ( 86)  -0.02 ( 72)   0.15 (158) |
FISHPOOL Catherine - PIGEAUD Fabienne                  |  220   0.25 |  0.12   0.13 | -0.05 (115)   0.32 (105) | -0.20 ( 58)   0.11 ( 57) |  0.28 ( 47)   0.51 ( 58)  -0.09 (105) |
VRIEND Bep - ARNOLDS Carla                             |  260   0.24 |  0.48  -0.24 |  0.10 (132)  -0.59 (128) |  0.86 (  8)   0.05 (124) |  0.04 (111)  -0.68 ( 17)  -0.53 (128) |
MEIRI Hana - MORAN OHAYON Orit                         |  340   0.22 | -0.00   0.22 |  0.29 (156)   0.17 (180) |  0.51 ( 83)   0.03 ( 73) |  0.14 ( 94)   0.15 ( 86)   0.03 (180) |
HERNANDEZ Maria Eugenia - MESTRES Montserrat           |  300   0.17 | -0.04   0.21 |  0.24 (149)   0.19 (151) |  0.30 ( 75)   0.17 ( 74) | -0.19 ( 76)   0.16 ( 75)   0.21 (151) |
STAWOWY Barbara - NEHMERT Pony Beate                   |  240   0.16 |  0.10   0.06 | -0.11 (126)   0.24 (113) | -0.31 ( 62)   0.09 ( 64) | -0.15 ( 59)   0.05 ( 54)   0.30 (113) |
PECINA Planinka (Nina) - RUSO Sandra                   |  180   0.14 | -0.08   0.23 |  0.36 ( 87)   0.11 ( 89) | -0.06 ( 45)   0.81 ( 42) | -0.22 ( 39)   0.21 ( 50)   0.09 ( 89) |
SANTOS Maria Carmen - MATUT Maria Luisa (Marisa)       |  300   0.07 |  0.10  -0.03 | -0.43 (161)   0.44 (138) | -0.20 ( 80)  -0.66 ( 81) |  0.04 ( 68)   0.13 ( 70)   0.36 (138) |
KULMALA Sari - MANTYLA Mirja                           |  280   0.06 |  0.08  -0.02 |  0.08 (129)  -0.11 (150) |  0.28 ( 65)  -0.11 ( 64) |  0.00 ( 82)   0.16 ( 68)  -0.19 (150) |
