                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
D'OVIDIO Catherine - GAVIARD Daniele                   |  320   0.76 |  0.38   0.38 |  0.41 (167)   0.36 (149) |  0.38 ( 90)   0.43 ( 77) | -0.02 ( 56)   0.20 ( 93)   0.24 (149) |
SIMONS Anneke - PASMAN Jet                             |  300   0.66 |  0.71  -0.05 | -0.16 (152)   0.06 (146) | -0.31 ( 31)  -0.12 (121) |  0.04 (104)  -0.36 ( 42)   0.14 (146) |
SMITH Nicola - DHONDY Heather                          |  360   0.63 |  0.35   0.28 |  0.34 (179)   0.22 (177) |  0.73 ( 83)   0.01 ( 96) |  0.09 ( 82)  -0.31 ( 95)   0.35 (177) |
WORTEL Meike - MICHIELSEN Marion                       |  280   0.63 |  0.22   0.41 |  0.36 (152)   0.48 (125) |  1.01 ( 71)  -0.20 ( 81) |  0.26 ( 57)  -0.04 ( 68)   0.38 (125) |
WILLARD Sylvie - CRONIER Benedicte                     |  300   0.55 |  0.24   0.31 |  0.08 (148)   0.53 (152) |  0.17 ( 74)   0.00 ( 74) |  0.26 ( 82)   0.49 ( 70)   0.16 (152) |
VON ARNIM Daniela - AUKEN Sabine                       |  420   0.53 |  0.42   0.10 | -0.00 (217)   0.22 (202) | -0.16 (106)   0.15 (111) |  0.11 (110)   0.02 ( 92)   0.15 (202) |
THORESEN Siv - REMEN Solvi                             |  360   0.52 |  0.36   0.16 |  0.31 (200)  -0.02 (158) |  0.73 (113)  -0.23 ( 87) | -0.10 ( 74)  -0.03 ( 84)   0.03 (158) |
FARHOLT Stense - RAHELT Maria Marit                    |  300   0.49 |  0.61  -0.12 | -0.08 (146)  -0.16 (154) |  0.18 ( 79)  -0.39 ( 67) |  0.02 ( 77)  -0.00 ( 77)  -0.16 (154) |
SACCAVINI Ilaria - PAOLUZI Simonetta                   |  320   0.43 |  0.19   0.23 |  0.36 (171)   0.09 (147) |  0.14 ( 73)   0.52 ( 98) |  0.18 ( 69)  -0.07 ( 78)   0.05 (147) |
