Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
BROWN Fiona - DRAPER Catherine;224;1,29;0,53;0,77;0,95;111;  0,59;112;0,83;62;1,11;49;0,13;60;-0,06;52;0,55;112;
SHEN (1) Qi - WANG Wen Fei;224;1,04;0,38;0,66;0,47;114;  0,86;109;0,54;56;0,41;58;-0,26;62;0,52;47;0,79;109;
BREWIAK Grazyna - KAZMUCHA Danuta;208;0,98;0,69;0,29;0,24;102;  0,33;106;0,16;55;0,33;47;0,27;55;0,03;51;0,18;106;
CHAMBERS Juanita - GLASSON Joann;128;0,94;0,28;0,65;0,33;65;  0,99;63;0,70;37;-0,16;28;0,29;34;0,20;29;0,74;63;
PAOLUZI Simonetta - SACCAVINI Ilaria;208;0,92;0,39;0,52;0,81;95;  0,29;112;1,17;41;0,53;54;0,33;61;-0,09;51;0,15;112;
HOULBERG Anne-Sofie - MADSEN Christina Lund;224;0,91;0,65;0,26;0,29;113;  0,23;110;0,37;49;0,23;64;-0,16;58;-0,06;52;0,35;110;
FERLAZZO Caterina - MANARA Gabriella;240;0,89;0,55;0,34;0,33;121;  0,36;116;0,06;56;0,56;65;-0,10;68;0,30;48;0,29;116;
WORTEL Meike - MICHIELSEN Marion;256;0,87;0,74;0,12;-0,02;137;  0,29;118;-0,26;71;0,24;66;0,08;58;-0,25;60;0,38;118;
WOLPERT Jenny - LEVIN Jill;272;0,81;0,24;0,57;0,66;148;  0,46;123;0,46;84;0,91;64;0,45;60;0,36;63;0,06;123;
BILDE Lone - RASMUSSEN Helle;224;0,81;0,36;0,45;0,61;122;  0,26;100;0,90;58;0,34;64;0,23;51;0,10;49;0,10;100;
WILLARD Sylvie - CRONIER Benedicte;288;0,80;0,51;0,28;0,21;147;  0,37;139;0,32;61;0,14;86;0,09;65;0,10;74;0,27;139;
SEAMON-MOLSON Janice - SOKOLOW Tobi;256;0,73;0,20;0,53;0,43;134;  0,66;120;0,88;69;-0,05;65;0,50;64;0,01;56;0,39;120;
ZUR-CAMPANILE Migry - MEYERS Jill;288;0,68;0,30;0,38;0,27;143;  0,50;144;0,49;75;0,02;68;0,09;69;0,41;75;0,24;144;
SIMONS Anneke - PASMAN Jet;208;0,68;0,43;0,25;0,52;104;  -0,02;103;0,65;51;0,39;53;0,02;45;-0,05;58;0,00;103;
SMITH Nicola - BROCK Sally;224;0,67;0,32;0,35;0,41;122;  0,28;101;0,07;62;0,75;60;-0,33;57;0,30;44;0,34;101;
ZOCHOWSKA Joanna - REESS Vanessa;240;0,63;0,32;0,31;0,12;124;  0,51;115;0,56;69;-0,42;55;0,53;57;-0,14;58;0,32;115;
CIMON Francine - FRASER Sandra;224;0,58;0,40;0,18;0,30;104;  0,07;120;0,30;48;0,30;56;-0,10;69;0,21;51;0,04;120;
SENIOR Nevena - DHONDY Heather;224;0,58;0,29;0,28;0,54;119;  -0,01;105;0,58;62;0,49;57;0,10;65;-0,01;40;-0,07;105;
WANG Hongli - ZHANG Yu;224;0,56;0,37;0,19;0,34;109;  0,05;114;0,22;54;0,46;55;-0,11;57;0,21;57;0,00;114;
BEKKOUCHE Nadia - RAHELT Maria Marit;224;0,54;0,50;0,05;0,10;115;  -0,01;109;-0,55;51;0,61;64;0,02;49;0,02;60;-0,03;109;
DEAS Lynn - PALMER Beth;288;0,47;0,24;0,23;0,60;145;  -0,14;142;0,71;77;0,47;68;0,09;84;-0,25;58;-0,09;142;
SARNIAK Anna - BALDYSZ Cathy;239;0,47;0,10;0,37;0,45;108;  0,31;128;0,38;55;0,53;53;0,14;60;-0,01;68;0,25;128;
CHAVARRIA Margherita - PISCITELLI Francesca;224;0,45;-0,15;0,59;0,69;119;  0,49;104;0,62;63;0,77;56;0,53;49;-0,01;55;0,24;104;
TACHE Nina - DOUER Alisa;192;0,39;-0,04;0,43;0,50;95;  0,36;97;0,20;55;0,92;40;0,06;50;0,13;47;0,27;97;
SAKAMOTO Midori - NISHIDA Natsuko;224;0,36;0,22;0,14;-0,07;116;  0,36;107;-0,10;57;-0,04;59;0,28;48;0,06;59;0,20;107;
FUNG Kismet - GARTAGANIS Judith;239;0,36;0,27;0,09;0,59;124;  -0,45;115;0,48;68;0,73;56;-0,29;60;0,18;55;-0,38;115;
TRAVIS Barbara - GINSBERG Candice;239;0,31;0,02;0,29;0,30;122;  0,28;115;0,46;79;0,00;43;0,43;56;-0,01;59;0,08;115;
CORREA Paula - DE MELLO Sylvia Figueira;240;0,22;0,20;0,02;0,04;120;  -0,01;119;0,17;63;-0,10;57;-0,05;59;0,27;60;-0,12;119;
CHEN Yin-Shou - KUO Lin-Shou;240;0,15;0,26;-0,11;-0,66;119;  0,43;119;-0,71;63;-0,61;56;-0,19;58;0,36;61;0,34;119;
SATO Makiko - SHIMAMURA Kyoko;224;0,13;0,62;-0,49;-1,17;117;  0,24;106;-1,66;57;-0,70;60;0,47;54;0,01;52;-0,00;106;
TSAO Chiung-Yueh - HSU Hsiu-Chin;240;0,09;-0,23;0,32;0,23;130;  0,44;109;0,62;57;-0,08;73;0,16;46;0,42;63;0,12;109;
