                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
BROCK Sally - SMITH Nicola                             |  128   1.71 |  0.98   0.73 |  0.15 ( 72)   1.49 ( 56) |  0.46 ( 42)  -0.29 ( 30) |  0.43 ( 25)   0.50 ( 31)   1.02 ( 56) |
GROMOVA Victoria - PONOMAREVA Tatiana                  |  128   1.24 |  0.67   0.57 |  0.78 ( 75)   0.27 ( 53) |  0.75 ( 37)   0.80 ( 38) | -0.26 ( 14)   0.05 ( 39)   0.31 ( 53) |
GULEVICH Anna - KHONICHEVA Elena                       |  144   1.19 |  0.90   0.30 |  0.29 ( 65)   0.31 ( 77) |  0.31 ( 34)   0.28 ( 31) | -0.08 ( 40)  -0.19 ( 37)   0.44 ( 77) |
CHUBAROVA Svetlana - VOROBEYCHIKOVA Olga               |  144   1.18 |  0.88   0.30 | -0.39 ( 72)   1.01 ( 71) |  0.09 ( 36)  -0.87 ( 36) |  0.02 ( 29)   0.33 ( 42)   0.81 ( 71) |
McGOWAN Elizabeth (Liz) - PUNCH Sam                    |  160   0.89 |  0.50   0.40 |  0.46 ( 85)   0.32 ( 75) |  0.50 ( 45)   0.42 ( 40) |  0.38 ( 43)   0.19 ( 32)   0.03 ( 75) |
KAZMUCHA Danuta - SAKOWSKA Natalia                     |  144   0.83 |  0.50   0.33 |  0.48 ( 75)   0.16 ( 69) |  0.07 ( 36)   0.87 ( 39) | -0.28 ( 29)  -0.00 ( 40)   0.28 ( 69) |
ACAR Asli - ERKAN Berrak                               |  160   0.74 |  0.10   0.64 |  1.00 ( 82)   0.26 ( 77) |  1.12 ( 42)   0.88 ( 40) |  0.04 ( 37)  -0.09 ( 40)   0.28 ( 77) |
ADUT Vera - ATALAY Belis                               |  112   0.64 |  0.44   0.20 |  0.45 ( 64)  -0.13 ( 48) |  0.50 ( 36)   0.39 ( 28) | -0.65 ( 22)   0.18 ( 26)   0.07 ( 48) |
BOURKE Margaret - LUSK Sue                             |  144   0.40 |  0.43  -0.03 | -0.12 ( 68)   0.06 ( 76) | -0.15 ( 38)  -0.07 ( 30) | -0.09 ( 41)   0.18 ( 35)   0.02 ( 76) |
